"event","experiment time","system time","system time text"
"START",0.000000000E0,1705767986.880,"2024-01-20 17:26:26.880 UTC+01:00"
"PAUSE",2.143077618E1,1705768008.310,"2024-01-20 17:26:48.310 UTC+01:00"
