"event","experiment time","system time","system time text"
"START",0.000000000E0,1705768502.823,"2024-01-20 17:35:02.823 UTC+01:00"
"PAUSE",5.964861750E1,1705768562.471,"2024-01-20 17:36:02.471 UTC+01:00"
