"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.147737000E-3,-2.633621931E0,3.390189648E0,5.104437828E0,6.669680342E0
1.315253200E-2,-2.853888512E0,3.332728863E0,5.439626217E0,6.988654712E0
1.818784600E-2,-2.796427488E0,3.303998232E0,5.966350555E0,7.371143057E0
2.322315900E-2,-2.662352324E0,3.371036053E0,6.646304131E0,7.913618803E0
2.825847300E-2,-2.470816135E0,3.505111217E0,7.268796444E0,8.439557972E0
3.326326900E-2,-2.030282974E0,3.639186621E0,7.709329605E0,8.763531889E0
3.829858300E-2,-1.532289028E0,3.763684988E0,8.427590370E0,9.356148449E0
4.333389600E-2,-9.959878922E-1,3.945644379E0,8.820239067E0,9.713738654E0
4.836920900E-2,-6.033388376E-1,3.849876404E0,9.050082207E0,9.853403170E0
5.337400500E-2,2.202665508E-1,3.323152065E0,7.374141216E0,8.091342020E0
5.840931900E-2,3.543418646E-1,3.428496838E0,8.513781548E0,9.185021773E0
6.344463300E-2,6.033388376E-1,3.447650433E0,8.983044624E0,9.640819570E0
6.847994600E-2,1.110909581E0,3.409343243E0,8.916007042E0,9.610042821E0
7.351526000E-2,1.589749932E0,3.811569214E0,1.081221485E1,1.157408116E1
7.852005600E-2,1.244984865E0,3.552995205E0,1.142513084E1,1.202943794E1
8.355536900E-2,1.024718285E0,3.399766445E0,9.203310966E0,9.864552306E0
8.859068200E-2,7.374141216E-1,3.390189648E0,1.083136845E1,1.137346508E1
9.362599600E-2,5.650315881E-1,3.074155092E0,1.073560047E1,1.118135983E1
9.866130900E-2,4.022258818E-1,2.748543501E0,1.086009884E1,1.120972898E1
1.036661060E-1,7.661445439E-2,2.279279947E0,1.084094524E1,1.107822552E1
1.087014190E-1,-4.022258818E-1,1.829170108E0,1.040998936E1,1.057712283E1
1.137367330E-1,-1.015141487E0,1.302445769E0,1.003649330E1,1.017143427E1
1.187720460E-1,-1.426944256E0,9.289502501E-1,9.710882187E0,9.859023852E0
1.237768430E-1,-1.637633920E0,6.224924326E-1,9.567230225E0,9.726316664E0
1.288121560E-1,-1.589749932E0,4.788403511E-1,9.481039047E0,9.625315285E0
1.338474700E-1,-1.359906554E0,4.309563041E-1,9.308655739E0,9.417331938E0
1.388827830E-1,-8.906430602E-1,5.937620401E-1,9.270348549E0,9.331943026E0
1.439180970E-1,-3.351882398E-1,9.193734527E-1,9.002198219E0,9.055228958E0
1.489228920E-1,4.213795066E-1,1.321599364E0,8.676587105E0,8.786771270E0
1.539582060E-1,1.331176162E0,2.001552582E0,8.331821442E0,8.671648704E0
1.589935190E-1,1.934514999E0,2.518700123E0,8.169015884E0,8.764645978E0
1.640288330E-1,2.604891539E0,3.179499865E0,8.839392662E0,9.748309697E0
1.690641460E-1,3.351882458E0,3.926490784E0,1.023760605E1,1.146564536E1
1.740689430E-1,3.380612850E0,4.252102375E0,1.121444035E1,1.246084227E1
1.791042560E-1,3.275267839E0,4.271255970E0,1.257434750E1,1.367791000E1
1.841395700E-1,2.595314741E0,3.955221176E0,1.318726254E1,1.401011514E1
1.891748830E-1,2.059013367E0,3.303998232E0,1.301488018E1,1.358466218E1
1.942101960E-1,1.541865945E0,2.786850691E0,1.278503704E1,1.317577548E1
1.992149930E-1,1.187524080E0,2.384624958E0,1.258392429E1,1.286280686E1
2.042503070E-1,8.619126081E-1,2.106897593E0,1.248815632E1,1.269393395E1
2.092856200E-1,6.512228847E-1,1.781286120E0,1.242111874E1,1.256508106E1
2.143209330E-1,3.926490843E-1,1.551442742E0,1.247857952E1,1.258078276E1
2.193257290E-1,1.436520964E-1,1.532289028E0,1.229662037E1,1.239255495E1
2.243610430E-1,-1.053448766E-1,1.426944256E0,1.239238834E1,1.247471668E1
2.293963560E-1,7.661445439E-2,1.781286120E0,1.238281155E1,1.251051045E1
2.344316690E-1,1.532289088E-1,2.154781580E0,1.235408115E1,1.254152638E1
2.394669830E-1,-5.746084079E-2,2.145204782E0,1.237323475E1,1.255795140E1
2.444717800E-1,-2.011129409E-1,2.336740971E0,1.221042824E1,1.243363835E1
2.495070930E-1,-4.213795066E-1,2.020706177E0,1.189439392E1,1.207217548E1
2.545424060E-1,-4.309563041E-1,2.202665567E0,1.130063248E1,1.152136074E1
2.595777200E-1,-4.022258818E-1,2.298433542E0,1.051533413E1,1.077111110E1
2.646130330E-1,-4.692635238E-1,2.585737944E0,9.586383820E0,9.940070609E0
2.696178300E-1,-5.554547906E-1,2.691082716E0,8.801085472E0,9.220062998E0
2.746531430E-1,-6.033388376E-1,2.911349297E0,8.590395927E0,9.090372636E0
2.796884570E-1,-7.852981687E-1,2.968810081E0,8.418013573E0,8.960662867E0
2.846932520E-1,-1.101332784E0,2.806004286E0,8.427590370E0,8.950467775E0
2.897285660E-1,-1.714248419E0,2.432508945E0,8.542511940E0,9.046007830E0
2.947638790E-1,-2.298433542E0,1.800439715E0,9.279925346E0,9.728380870E0
2.997991940E-1,-2.557007313E0,1.225831270E0,1.004607010E1,1.043860494E1
3.048345070E-1,-2.853888512E0,7.086837292E-1,1.048660374E1,1.089108673E1
3.098393030E-1,-2.920926094E0,4.884171486E-1,1.107078838E1,1.146004869E1
3.148746160E-1,-2.815581083E0,3.926490843E-1,1.155920601E1,1.190365128E1
3.199099300E-1,-2.767697096E0,4.118026793E-1,1.187524033E1,1.220045333E1
3.249452430E-1,-2.662352324E0,6.129156351E-1,1.188481712E1,1.219478018E1
3.299500400E-1,-2.604891539E0,9.097966552E-1,1.132936287E1,1.166051684E1
3.349853530E-1,-2.633621931E0,1.158793569E0,1.049618053E1,1.088340814E1
3.400206670E-1,-2.729389906E0,1.465251446E0,9.777919769E0,1.025691211E1
3.450559800E-1,-2.892195702E0,1.723825216E0,9.050082207E0,9.656104665E0
3.500607760E-1,-2.949656487E0,2.039859772E0,8.667010307E0,9.379689171E0
3.550960890E-1,-2.882618904E0,2.327163935E0,8.456320763E0,9.232255660E0
3.601314040E-1,-2.671929121E0,2.834734917E0,8.695740700E0,9.528422408E0
3.651667170E-1,-2.183511972E0,3.351882458E0,9.126696587E0,9.964909991E0
3.702020300E-1,-2.202665567E0,3.026270866E0,9.787496567E0,1.047879478E1
3.752068260E-1,-1.474828243E0,3.227383852E0,9.835380554E0,1.045589956E1
3.802421400E-1,-1.225831270E0,3.495534420E0,1.084094524E1,1.145633087E1
3.852774530E-1,-7.661445141E-1,3.677493811E0,1.195185471E1,1.252827877E1
3.903127660E-1,-4.596867263E-1,3.648763418E0,1.267969227E1,1.320224914E1
3.953175630E-1,-4.309563041E-1,3.361459255E0,1.374271774E1,1.415441354E1
4.003528770E-1,-4.309563041E-1,2.959233284E0,1.424071217E1,1.455131155E1
4.053881900E-1,-6.129156351E-1,2.537853718E0,1.435563374E1,1.459111329E1
4.104235030E-1,-6.991068721E-1,1.905784607E0,1.433648014E1,1.447948301E1
4.154283000E-1,-6.895300746E-1,1.436521053E0,1.453759289E1,1.462465902E1
4.204636140E-1,-8.236053586E-1,9.959878922E-1,1.437478733E1,1.443276926E1
4.254989270E-1,-8.331822157E-1,7.182605267E-1,1.465251446E1,1.469374938E1
4.305342400E-1,-9.481038451E-1,2.394201756E-1,1.445140171E1,1.448444802E1
4.355390360E-1,-9.576807022E-1,5.746084079E-2,1.434605694E1,1.437810153E1
4.405743500E-1,-9.289502501E-1,-1.628057212E-1,1.440351772E1,1.443436099E1
4.456096630E-1,-9.576807022E-1,-2.873041928E-1,1.430774975E1,1.434264267E1
4.506449760E-1,-9.481038451E-1,-4.309563041E-1,1.402044487E1,1.405907175E1
4.556802900E-1,-9.097966552E-1,-3.926490843E-1,1.371398735E1,1.374974008E1
4.606850870E-1,-9.481038451E-1,-4.022258818E-1,1.335006905E1,1.338973600E1
4.657204000E-1,-1.063025594E0,-5.267243981E-1,1.290953541E1,1.296393329E1
4.707557130E-1,-1.082179189E0,-3.543418646E-1,1.227746677E1,1.233016060E1
4.757910270E-1,-1.177947283E0,-2.489969730E-1,1.157835960E1,1.164078908E1
4.808263400E-1,-1.101332784E0,0.000000000E0,1.086009884E1,1.091579959E1
4.858311370E-1,-1.197100878E0,1.436520964E-1,1.022802925E1,1.029884794E1
4.908664500E-1,-1.216254473E0,3.447650373E-1,9.548076630E0,9.631402037E0
4.959017640E-1,-1.082179189E0,6.033388376E-1,8.935160637E0,9.020655473E0
5.009370770E-1,-1.091755986E0,9.481038451E-1,9.097966194E0,9.212156149E0
5.059418730E-1,-6.895300746E-1,1.043871999E0,9.500192642E0,9.582211682E0
5.109771860E-1,-4.213795066E-1,7.565677166E-1,9.490615845E0,9.530044308E0
5.160125000E-1,1.819593310E-1,7.948749661E-1,9.911994934E0,9.945480329E0
5.210478130E-1,5.554547906E-1,6.895300746E-1,1.014183807E1,1.018041557E1
5.260831260E-1,9.385270476E-1,6.799532771E-1,1.045787334E1,1.052189547E1
5.310879230E-1,1.446097851E0,8.523358107E-1,1.039083576E1,1.052554717E1
5.361232370E-1,1.618480325E0,1.043871999E0,1.020887566E1,1.038895035E1
5.411585500E-1,1.704671621E0,1.197100878E0,9.854534149E0,1.007227875E1
5.461938630E-1,1.790862918E0,1.474828243E0,9.509769440E0,9.788668098E0
5.511986600E-1,2.030282974E0,1.714248419E0,9.117119789E0,9.496450381E0
5.562339740E-1,2.221819162E0,2.039859772E0,8.504204750E0,9.023248124E0
5.612692870E-1,2.403778553E0,2.173935175E0,7.958326340E0,8.592968265E0
5.663046000E-1,2.595314741E0,2.231395960E0,7.479485989E0,8.225417752E0
5.713399140E-1,2.604891539E0,2.202665567E0,6.713341713E0,7.530348762E0
5.763447100E-1,2.691082716E0,2.059013367E0,5.928043365E0,6.828115433E0
5.813800230E-1,2.470816135E0,1.896207690E0,5.123591423E0,5.995975738E0
5.864153360E-1,2.231395960E0,1.877054095E0,4.271255970E0,5.171661973E0
5.914506500E-1,2.145204782E0,1.771709204E0,3.514688015E0,4.482620763E0
5.964554470E-1,1.963245392E0,1.675941229E0,2.930502892E0,3.905247581E0
6.014907600E-1,1.695094824E0,1.589749932E0,2.614468336E0,3.498013149E0
6.065260730E-1,1.426944256E0,1.340752959E0,2.557007313E0,3.220570571E0
6.115613870E-1,1.273715258E0,1.158793569E0,2.700659513E0,3.202922868E0
6.165967000E-1,1.197100878E0,1.034295082E0,3.074155092E0,3.457346722E0
6.216014970E-1,1.168370485E0,9.768342972E-1,3.562572241E0,3.874431030E0
6.266368100E-1,1.436521053E0,7.469909191E-1,4.347870350E0,4.639565147E0
6.316721240E-1,1.637633920E0,4.596867263E-1,5.046977043E0,5.325892790E0
6.367074370E-1,1.561019540E0,3.447650373E-1,5.841852188E0,6.056639491E0
6.417122330E-1,1.647210717E0,0.000000000E0,6.531382084E0,6.735893042E0
6.467475460E-1,1.704671621E0,-2.298433632E-1,7.278373241E0,7.478866916E0
6.517828610E-1,1.867477298E0,-5.554547906E-1,7.920019150E0,8.156145218E0
6.568181740E-1,2.001552582E0,-6.607996821E-1,8.312667847E0,8.575739950E0
6.618534880E-1,2.154781580E0,-7.278373241E-1,8.322244644E0,8.627432222E0
6.668582830E-1,2.355894566E0,-7.661445141E-1,8.149862289E0,8.518067384E0
6.718935970E-1,2.557007313E0,-7.374141216E-1,7.527369976E0,7.983944184E0
6.769289100E-1,2.863465309E0,-4.692635238E-1,6.464344501E0,7.085717442E0
6.819642240E-1,2.748543501E0,-3.256114423E-1,5.554547787E0,6.205925822E0
6.869690200E-1,3.026270866E0,1.340752989E-1,4.596867085E0,5.505222842E0
6.920043340E-1,3.390189648E0,6.799532771E-1,3.878606796E0,5.196086314E0
6.970396470E-1,3.734954596E0,1.379060149E0,3.754108191E0,5.472204403E0
7.020749610E-1,4.491522312E0,2.020706177E0,7.824251175E0,9.245319496E0
7.071102740E-1,4.108449936E0,2.078166962E0,7.527369976E0,8.823799496E0
7.121150710E-1,4.089296341E0,2.308010340E0,4.108449936E0,6.239280180E0
7.171503840E-1,4.443638325E0,2.049436569E0,4.606443882E0,6.720523570E0
7.221856970E-1,4.261679173E0,1.924938202E0,5.161899090E0,6.965091433E0
7.271904930E-1,4.299986362E0,2.461239338E0,6.320692539E0,8.031110507E0
7.322258070E-1,3.552995205E0,2.442085743E0,8.609549522E0,9.628701921E0
7.372611200E-1,3.150769472E0,2.231395960E0,1.063983250E1,1.131867977E1
7.422964330E-1,3.371036053E0,2.097320795E0,1.238281155E1,1.300371718E1
7.473012300E-1,3.667917013E0,1.723825216E0,1.470997524E1,1.525806542E1
7.523365440E-1,3.639186621E0,1.197100878E0,1.658702850E1,1.702369655E1
7.573718570E-1,3.677493811E0,5.650315881E-1,1.796608925E1,1.834730455E1
7.624071700E-1,3.466804028E0,1.244984865E-1,1.869392776E1,1.901307880E1
7.674424840E-1,3.208230257E0,-2.394201756E-1,1.905784607E1,1.932748199E1
7.724472810E-1,2.844311714E0,-4.501099288E-1,1.894292450E1,1.916056097E1
7.774825940E-1,2.480392933E0,-5.554547906E-1,1.840662193E1,1.858129732E1
7.825179070E-1,2.164358377E0,-4.309563041E-1,1.734359741E1,1.748343621E1
7.875532210E-1,1.723825216E0,-1.436520964E-1,1.631887817E1,1.641030146E1
7.925580170E-1,1.312022567E0,2.681505978E-1,1.551442719E1,1.557211478E1
7.975933300E-1,1.187524080E0,7.469909191E-1,1.525585365E1,1.532022453E1
8.026286430E-1,1.379060149E0,1.110909581E0,1.516008472E1,1.526316140E1
8.076639570E-1,1.647210717E0,1.608903527E0,1.498770237E1,1.516354497E1
8.126992700E-1,1.886630893E0,2.030282974E0,1.470997524E1,1.496879410E1
8.177040670E-1,2.049436569E0,2.260126352E0,1.429817295E1,1.462005852E1
8.227393800E-1,1.819593310E0,2.509123325E0,1.382890892E1,1.417199145E1
8.277746940E-1,1.675941229E0,2.748543501E0,1.315853214E1,1.354659509E1
8.328100070E-1,1.312022567E0,2.882618904E0,1.230619717E1,1.270721778E1
8.378453210E-1,9.002198577E-1,3.045424461E0,1.166455078E1,1.208911704E1
8.428501170E-1,7.086837292E-1,3.141192675E0,1.064940929E1,1.112561200E1
8.478854310E-1,2.777273953E-1,3.275267839E0,1.067813969E1,1.117260843E1
8.529207440E-1,1.915361360E-2,3.514688015E0,1.023760605E1,1.082413859E1
8.579560580E-1,-6.703764945E-2,3.505111217E0,9.433155060E0,1.006353383E1
