"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.366605110E-1,5.142745018E0,-8.619125932E-2,8.140285492E0,9.629096694E0
3.416653120E-1,4.730942726E0,-2.585737705E-1,8.044517517E0,9.336109551E0
3.467006290E-1,4.137180328E0,-3.639186621E-1,7.814674377E0,8.849736351E0
3.517359480E-1,3.476380825E0,-7.469909191E-1,7.699752808E0,8.481120938E0
3.567712660E-1,2.882618904E0,-1.015141487E0,7.517793179E0,8.115246038E0
3.617760670E-1,2.346317768E0,-1.072602391E0,7.469909191E0,7.902861905E0
3.668113850E-1,2.106897593E0,-9.002198577E-1,7.623138428E0,7.960003313E0
3.718467020E-1,2.135627985E0,-8.236053586E-1,7.431602001E0,7.776113488E0
3.768515040E-1,2.336740971E0,-8.331822157E-1,7.469909191E0,7.871092319E0
3.818868220E-1,2.748543501E0,-1.082179189E0,7.862558365E0,8.399132527E0
3.869221400E-1,3.687070608E0,-1.158793569E0,8.647856712E0,9.472207658E0
3.919269410E-1,4.797980309E0,-1.168370485E0,1.000776291E1,1.115979494E1
3.969622590E-1,5.659893036E0,-1.197100878E0,1.154962921E1,1.291748329E1
4.019975780E-1,7.125144482E0,-1.264138460E0,1.276588345E1,1.467424649E1
4.070023780E-1,8.523358345E0,-1.264138460E0,1.297657299E1,1.557681386E1
4.120376960E-1,8.887276649E0,-1.321599364E0,1.257434750E1,1.545459563E1
4.170730140E-1,9.126696587E0,-1.331176162E0,1.139640045E1,1.466105603E1
4.221083330E-1,1.022802925E1,-6.320692301E-1,9.002198219E0,1.364007576E1
4.271131330E-1,9.911994934E0,2.106897533E-1,7.776367188E0,1.260015557E1
4.321484520E-1,9.452308655E0,1.312022567E0,6.809109688E0,1.172311891E1
4.371837690E-1,8.647856712E0,3.303998232E0,9.299078941E0,1.312153570E1
4.421885710E-1,6.607996464E0,4.865017891E0,1.046745014E1,1.330043341E1
4.472238880E-1,3.620033026E0,4.644751072E0,1.132936287E1,1.276843039E1
4.522592070E-1,1.781286120E0,2.892195702E0,1.062067890E1,1.115063211E1
4.572640080E-1,1.216254473E0,9.481038451E-1,9.854534149E0,9.974468364E0
4.622993260E-1,2.260126352E0,-4.692635238E-1,8.676587105E0,8.978393129E0
4.673346440E-1,2.480392933E0,-1.618480325E0,9.145850182E0,9.613449080E0
4.723699620E-1,2.126051188E0,-2.183511972E0,9.643844604E0,1.011392886E1
4.773747630E-1,1.570596337E0,-2.135627985E0,9.442731857E0,9.807796117E0
4.824100810E-1,9.768342972E-1,-1.656787634E0,8.676587105E0,8.887199463E0
4.874453990E-1,1.043871999E0,-1.273715258E0,7.364564419E0,7.546444751E0
4.924502000E-1,1.388636947E0,-1.120486379E0,6.406883717E0,6.650711334E0
4.974855190E-1,2.231395960E0,-1.158793569E0,5.516240597E0,6.062247173E0
5.025208360E-1,2.710236311E0,-1.379060149E0,5.621585369E0,6.391354302E0
5.075256380E-1,3.390189648E0,-1.168370485E0,5.985504150E0,6.977444760E0
5.125609550E-1,4.175487995E0,-1.043871999E0,6.971915245E0,8.193410214E0
5.175962740E-1,5.573701382E0,-7.852981687E-1,7.766790390E0,9.591969207E0
5.226010740E-1,6.780379295E0,-7.565677166E-1,7.718906403E0,1.030181800E1
5.276363930E-1,6.837840080E0,-4.884171486E-1,7.345410824E0,1.004737122E1
5.326717110E-1,6.157886982E0,-9.576806799E-3,7.469909191E0,9.680868098E0
5.376765120E-1,5.343858242E0,3.064578176E-1,7.038952827E0,8.842940360E0
5.427118290E-1,5.190629482E0,4.213795066E-1,6.665457726E0,8.458635930E0
5.477471480E-1,5.477933407E0,8.619125932E-2,5.707777023E0,7.911630798E0
5.527824660E-1,6.301538944E0,-2.202665508E-1,5.477933407E0,8.352584320E0
