"event","experiment time","system time","system time text"
"START",0.000000000E0,1705767878.532,"2024-01-20 17:24:38.532 UTC+01:00"
"PAUSE",3.678906132E1,1705767915.321,"2024-01-20 17:25:15.321 UTC+01:00"
