"event","experiment time","system time","system time text"
"START",0.000000000E0,1705336679.868,"2024-01-15 17:37:59.868 UTC+01:00"
"PAUSE",8.008261533E0,1705336687.876,"2024-01-15 17:38:07.876 UTC+01:00"
