"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.257039870E-1,-7.469909191E-1,1.599326730E0,9.653421402E0,9.813479820E0
3.307393000E-1,-8.619126081E-1,1.608903527E0,9.634267807E0,9.805640218E0
3.357440960E-1,-8.619126081E-1,1.513135433E0,9.605537415E0,9.762111514E0
3.407794090E-1,-1.005564690E0,1.493981838E0,9.595960617E0,9.763483100E0
3.458147220E-1,-1.015141487E0,1.503558636E0,9.605537415E0,9.775354205E0
3.508500340E-1,-9.576807022E-1,1.484405041E0,9.605537415E0,9.766624784E0
3.558548310E-1,-9.097966552E-1,1.493981838E0,9.672574997E0,9.829466860E0
3.608901440E-1,-9.385270476E-1,1.398213744E0,9.643844604E0,9.789768815E0
3.659254570E-1,-7.469909191E-1,1.388636947E0,9.595960617E0,9.724647457E0
3.709607690E-1,-2.873041928E-1,1.762132406E0,9.136273384E0,9.309089411E0
3.759960830E-1,-1.723825186E-1,1.829170108E0,9.126696587E0,9.309788913E0
3.810008790E-1,-1.819593310E-1,1.905784607E0,9.097966194E0,9.297209960E0
3.860361920E-1,-2.011129409E-1,1.800439715E0,9.193734169E0,9.370527069E0
3.910715040E-1,-1.532289088E-1,1.742978811E0,9.375694275E0,9.537562444E0
3.961068180E-1,-1.628057212E-1,1.503558636E0,9.471462250E0,9.591443657E0
4.011421300E-1,-2.011129409E-1,1.388636947E0,9.758766174E0,9.859121474E0
4.061469270E-1,-1.340752989E-1,1.168370485E0,9.940725327E0,1.001004924E1
4.111822390E-1,-2.106897533E-1,9.672574997E-1,1.017056847E1,1.021863201E1
4.162175530E-1,-2.585737705E-1,8.619126081E-1,1.036210537E1,1.040110482E1
4.212528650E-1,-4.309563041E-1,7.565677166E-1,1.051533413E1,1.055132077E1
4.262576610E-1,-5.363011956E-1,6.607996821E-1,1.059194851E1,1.062608340E1
4.312929740E-1,-7.182605267E-1,7.469909191E-1,1.062067890E1,1.067111587E1
4.363282880E-1,-9.385270476E-1,7.852981687E-1,1.074517727E1,1.081463641E1
4.413636000E-1,-1.120486379E0,8.523358107E-1,1.062067890E1,1.071357953E1
4.463989140E-1,-1.216254473E0,9.097966552E-1,1.045787334E1,1.056759764E1
4.514037090E-1,-1.225831270E0,8.810662031E-1,1.033337498E1,1.044306365E1
4.564390230E-1,-1.206677675E0,9.289502501E-1,1.013226128E1,1.024605964E1
4.614743350E-1,-1.034295082E0,8.906430602E-1,9.959878922E0,1.005296969E1
4.665096490E-1,-8.810662031E-1,8.810662031E-1,9.806650162E0,9.885491526E0
4.715449610E-1,-7.565677166E-1,9.097966552E-1,9.883264542E0,9.953845622E0
4.765497570E-1,-5.937620401E-1,8.236053586E-1,9.883264542E0,9.935280426E0
4.815850700E-1,-6.416460276E-1,7.086837292E-1,1.002691650E1,1.007238784E1
4.866203840E-1,-6.033388376E-1,6.224924326E-1,1.009395409E1,1.013111167E1
4.916556960E-1,-5.267243981E-1,1.043871999E0,1.025675964E1,1.032318874E1
4.966910090E-1,-6.703764796E-1,1.043871999E0,1.022802925E1,1.030299256E1
5.016958050E-1,-8.140285611E-1,9.097966552E-1,1.025675964E1,1.032915731E1
5.067311190E-1,-8.044517636E-1,7.182605267E-1,9.921571732E0,9.980011345E0
5.117664310E-1,-7.757213712E-1,6.991068721E-1,9.452308655E0,9.509817715E0
5.168017440E-1,-8.427590132E-1,6.991068721E-1,9.078812599E0,9.144606683E0
5.218370570E-1,-8.714894056E-1,6.895300746E-1,8.935160637E0,9.004001395E0
5.268418520E-1,-1.005564690E0,7.469909191E-1,9.040505409E0,9.126877551E0
5.318771660E-1,-1.197100878E0,8.140285611E-1,9.404424667E0,9.515192922E0
5.369124790E-1,-1.388636947E0,8.523358107E-1,9.567230225E0,9.704982384E0
5.419477920E-1,-1.474828243E0,9.576807022E-1,9.548076630E0,9.708657889E0
5.469525870E-1,-1.417367458E0,1.034295082E0,9.605537415E0,9.764478780E0
5.519879010E-1,-1.187524080E0,1.034295082E0,9.864110947E0,9.989027206E0
5.570232130E-1,-9.097966552E-1,9.864110947E-1,1.011310768E1,1.020174905E1
5.620585270E-1,-5.937620401E-1,1.015141487E0,1.034295177E1,1.040959735E1
5.670938400E-1,-3.734954596E-1,1.005564690E0,1.048660374E1,1.054132426E1
5.720986360E-1,-3.447650373E-1,9.289502501E-1,1.062067890E1,1.066680045E1
5.771339480E-1,-3.447650373E-1,9.002198577E-1,1.043871975E1,1.048313544E1
5.821692620E-1,-6.129156351E-1,1.015141487E0,1.024718285E1,1.031556756E1
5.872045750E-1,-7.948749661E-1,9.385270476E-1,1.004607010E1,1.012107621E1
5.922093710E-1,-1.082179189E0,1.043871999E0,9.806650162E0,9.921248306E0
5.972446830E-1,-1.264138460E0,1.101332784E0,9.538499832E0,9.684728132E0
