"event","experiment time","system time","system time text"
"START",0.000000000E0,1705768453.099,"2024-01-20 17:34:13.099 UTC+01:00"
"PAUSE",2.456279644E1,1705768477.662,"2024-01-20 17:34:37.662 UTC+01:00"
