"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.355858400E-1,7.852981687E-1,2.346317768E0,7.661445618E0,8.051065099E0
3.406211530E-1,8.619126081E-1,2.432508945E0,7.900865555E0,8.311658657E0
3.456564660E-1,9.481038451E-1,2.528276920E0,7.929595947E0,8.376728298E0
3.506917790E-1,9.481038451E-1,2.384624958E0,7.747636795E0,8.161569273E0
3.556965750E-1,8.619126081E-1,2.106897593E0,7.575253963E0,7.909891492E0
3.607318880E-1,6.799532771E-1,1.790862918E0,7.163451672E0,7.415157874E0
3.657672010E-1,5.267243981E-1,1.321599364E0,6.703764915E0,6.853067015E0
3.708025140E-1,5.363011956E-1,1.024718285E0,6.598419666E0,6.699015497E0
3.758073100E-1,1.244984865E0,3.160346150E-1,5.497087002E0,5.645159936E0
3.808426230E-1,1.063025594E0,2.777273953E-1,6.301538944E0,6.396604489E0
3.858779360E-1,1.091755986E0,9.576806426E-2,6.713341713E0,6.802209906E0
3.908827320E-1,1.350329757E0,1.628057212E-1,6.588842869E0,6.727759397E0
3.959180450E-1,1.580173135E0,3.064578176E-1,6.493074894E0,6.689610236E0
4.009533580E-1,1.503558636E0,2.777273953E-1,6.780379295E0,6.950637702E0
4.059886710E-1,1.656787634E0,6.703764945E-2,6.818686485E0,7.017401563E0
4.109934670E-1,1.561019540E0,-8.619125932E-2,6.713341713E0,6.892979609E0
4.160287800E-1,1.426944256E0,-4.405331016E-1,5.832275391E0,6.020438153E0
4.210640930E-1,1.340752959E0,-5.841852427E-1,4.922478676E0,5.135142375E0
4.260994060E-1,9.672574997E-1,-7.661445141E-1,4.711789131E0,4.870679758E0
4.311042020E-1,6.129156351E-1,-7.086837292E-1,4.529829502E0,4.625716541E0
4.361395150E-1,4.118026793E-1,-7.374141216E-1,4.788403511E0,4.862321382E0
4.411748280E-1,3.543418646E-1,-6.895300746E-1,4.941632271E0,5.002073508E0
4.462101410E-1,4.118026793E-1,-4.884171486E-1,5.171475887E0,5.210786468E0
4.512149370E-1,4.501099288E-1,-5.075707436E-1,5.975927353E0,6.014310828E0
4.562502500E-1,3.926490843E-1,-3.351882398E-1,7.010222435E0,7.029206431E0
4.612855630E-1,6.991068721E-1,-1.244984865E-1,8.159439087E0,8.190280612E0
